id,Company_name,Drug_company,Drug_name,Quantity
388,Nlounge,"Fresenius Kabi USA, LLC",Haloperidol Decanoate,24
389,Dabfeed,McKesson Contract Packaging,Risperidone,70
390,Mybuzz,Rite Aid Corporation,Rite Aid Daytime Severe Cold and Cough Relief,89
391,Camido,Barr Laboratories Inc.,Protriptyline Hydrochloride,73
392,Brightdog,Cardinal Health (Leader),Leader Medicated Lip Balm,86
393,Muxo,"ABC Compounding Co., Inc.",Cleanse,8
394,Topiclounge,Supervalu Inc,equaline antacid,36
395,Feedfire,"Akorn, Inc.",INDIGO CARMINE,94
396,Jayo,Apotex Corp.,Escitalopram,6
397,Skipfire,"Nelco Laboratories, Inc.",Poplar,18
398,Babbleset,West-ward Pharmaceutical Corp,Levetiracetam,80
399,Linklinks,Lake Erie Medical DBA Quality Care Products LLC,Oxymorphone Hydrochloride,32
400,Latz,"Janssen Pharmaceuticals, Inc.",Ortho Cyclen,74
401,Youspan,WHITE MANUFACTURING INC. DBA MICRO WEST,TOTAL ANDRO-BAL,85
402,Feedfire,Washington Homeopathic Products,Argentum Nitricum Kit Refill,63
403,Tagtune,P.S.W. INC.,Monkey Holding Peach Brand,62
404,Trudoo,St Marys Medical Park Pharmacy,Sertraline Hydrochloride,33
405,Roodel,Sandoz Inc,Atomoxetine hydrochloride,15
406,Vitz,Ecolab Inc.,Clean Strike,40
407,Tagfeed,REMEDYREPACK INC.,Synthroid,65
408,Demivee,King Bio Inc.,Pet Hair and Dander Allergies,82
409,Riffpath,Clinical Solutions Wholesale,Venlafaxine,88
410,Browsedrive,REMEDYREPACK INC.,Ofloxacin,82
411,Trupe,KAISER FOUNDATION HOSPITALS,Lorazepam,28
412,Vinte,Topco Associates LLC,Topcare Allergy Multi Symptom,15
413,Meemm,King Bio Inc.,Soothing Advanced Arnica,62
414,LiveZ,Remedy Makers,ARNICA MONTANA (WHOLE PLANT),59
415,Dynava,Chain Drug Market Association,Quality Choice Calamine,85
416,Zoovu,Meda Pharmaceuticals Inc.,Demadex,70
417,Wikizz,"Carver Korea Co.,Ltd",AHC Vital C Complex Mask,5
418,Agimba,Natural Immunogenics Corp.,Argentyn 23,34
419,Jetpulse,Physicians Formula Inc,Mineral Wear Talc-Free Correcting Primer,70
420,Jabbersphere,"Group Practice Solutions, Inc.",GPS Topical Anesthetic,88
421,Cogidoo,Energetix Corp,MycoCan-Chord,45
422,Rhyloo,Sandoz Inc,Nafcillin,44
423,Layo,GlaxoSmithKline Consumer Healthcare LP,Sensodyne,79
424,DabZ,"ALK-Abello, Inc.","Cat Pelt, Standardized",75
425,Roodel,Amerisource Bergen,good neighbor pharmacy ibuprofen,89
426,Yabox,Cardinal Health,Mephyton,27
427,Voomm,H E B,ORCHID BY H E B,41
428,Wordtune,"Physicians Total Care, Inc.",Quetiapine fumarate,84
429,Thoughtworks,"Dolgencorp, LLC",dg health infants pain and fever,42
430,Kimia,"Aaron Industries, Inc.",Hydrogen Peroxide,53
431,Livefish,"Takeda Pharmaceuticals America, Inc.",KAZANO,78
432,Gabspot,Midlothian Laboratories,Folcaps Omega-3,33
433,Roodel,Kramer Novis,SUPRESS-PE,81
434,Kimia,"Bayshore Pharmaceuticals, LLC",Benztropine Mesylate,94
435,Gabcube,Access Business Group LLC,fulton street market triple antibiotic,71
436,Rhycero,SHISEIDO AMERICAS CORPORATION,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),87
437,Zoonoodle,Sanofi Pasteur Inc.,INFLUENZA A (H1N1) 2009 MONOVALENT VACCINE,82
438,Kimia,Cox Health Home Support,Oxygen,12
439,Dabshots,Dynarex Corporation,Muscle rub,40
440,Fivespan,Bryant Ranch Prepack,Flomax,58
441,Youspan,Conopco Inc. d/b/a Unilever,Degree,50
442,Meezzy,KAS Direct LLC dba BabyGanics,BabyGanics Sunscreen,38
443,Oyope,Sandoz Inc.,Ranitidine,68
444,Feednation,Insight Pharmaceuticals LLC,Privine,17
445,Blogpad,"PD-Rx Pharmaceuticals, Inc.",Ciprofloxacin,62
446,Skipstorm,BCM Cosmetique SAS,No7 Beautifully Matte Foundation Sunscreen Broad Spectrum SPF 15 Cool Beige,90
447,Layo,"Fresenius Kabi USA, LLC",Tobramycin,5
448,Dabvine,"Prime Packaging, Inc.",Australian Gold,64
449,Quinu,Par Pharmaceutical Inc,Chlordiazepoxide and Amitriptyline HCl,71
450,Avaveo,Home Sweet Homeopathics,Infection,90
451,Devify,H.E.B,Milk of Magnesia Wild Cherry,60
452,Babbleopia,"DLC Laboratories, Inc.",Earths Care Arnica Compound,89
453,Flipstorm,Lake Erie Medical DBA Quality Care Products LLC,Diclofenac Potassium,35
454,Pixoboo,"GREENBRIER INTERNATIONAL, INC.",Tension Headache Relief,23
455,Skyvu,"MSD Consumer Care, Inc.",Dr. Scholls,100
456,Babbleblab,Neutrogena Corporation,Neutrogena SkinClearing,49
457,Voonix,"Tarte, Inc",Amazonian Clay 12-Hour Full Coverage Foundation Broad Spectrum SPF 15 Sunscreen,85
458,Thoughtworks,Cardinal Health,Adenosine,65
459,Meedoo,Cardinal Health,Colcrys,77
460,Skiptube,Apotheca Company,Sinusitis,16
461,Yodo,Alberto-Culver USA Inc.,ST. IVES,81
462,Yodoo,"ALK-Abello, Inc.",BOTRYTIS CINEREA,13
463,Mydo,"Bolero Home Decor, Inc.",Disney PIXAR MONSTERS UNIVERSITY Antibacterial Hand Wipes,38
464,Cogilith,"Allergy Laboratories, Inc.",STRAWBERRY,99
465,Realpoint,Parke-Davis Div of Pfizer Inc,Nardil,100
466,Skidoo,Rebel Distributors Corp,Fexofenadine Hydrochloride,58
467,Oyoyo,KAISER FOUNDATION HOSPITALS,ASACOL,28
468,Yacero,"PD-Rx Pharmaceuticals, Inc.",Sulfamethoxazole and Trimethoprim,9
469,Tagfeed,Bryant Ranch Prepack,Glyburide and Metformin,46
470,Skinte,Lake Erie Medical DBA Quality Care Products LLC,carvedilol,87
471,Flashset,"Boehringer Ingelheim Pharmaceuticals, Inc.",DulcoGas,14
472,Skyndu,GlaxoSmithKline Consumer Healthcare LP,AQUAFRESH,32
473,Dynazzy,AvPAK,risperidone,73
474,Mynte,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,999 COLD REMEDY GRANULAR,48
475,Realblab,KRAMER NOVIS,Pecgen DMX,78
476,Fadeo,Vansen Pharma Inc.,Spectracef,7
477,Rhyloo,"Safetec of America, Inc.",Saniwash Antimicrobial Foaming Hand,83
478,Lajo,Teva Pharmaceuticals USA Inc,Naproxen,57
479,Demimbu,Delon Laboratories (1990) Ltd,Petroleum Jelly with Shea Butter and Argan Oil,98
480,Wordify,Quadex Pharmaceuticals LLC,Viroxyn Professional Use,85
481,Blogtags,American Welding & Gas,Oxygen,15
482,Blogpad,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",Allergy Relief,29
483,Linklinks,Ventura Corporation LTD,CY BETTER LIPS BALM Humectante para Labios con color FPS 18,57
484,Aimbo,"Amphastar Pharmaceuticals, Inc.",Enoxaparin Sodium,77
485,Voolia,"Deseret Biologials, Inc.",Skin Infections,5
486,Livefish,"SJ Creations, Inc.",Vineyard Grape Antibacterial Hand Wash,92
487,Tagchat,DOLGENCORP INC,ACNE CONTROL CLEANSER,43
488,Twitterlist,"Stephen L. LaFrance Pharmacy, Inc.",Select Brand Hemorrhoid,24
489,Pixoboo,"Nelco Laboratories, Inc.",Sheep Sorrel,24
490,Cogidoo,Lupin Pharma,Alinia,69
491,Quatz,Carilion Materials Management,Pioglitazone,84
492,Reallinks,Natural Health Supply,HEMMORHOIDS,61
493,Rhynyx,Perrigo New York Inc,Mesalamine,44
494,Gabvine,"Acella Pharmaceuticals, LLC",Urea,2
495,Yakijo,Major Pharmaceuticals,Risperidone,71
496,Thoughtworks,"Nelco Laboratories, Inc.",Spearmint,99
497,Tagfeed,Uriel Pharmacy Inc.,Aurum Equisetum B,82
498,Demimbu,Kroger Company,nighttime sleep aid,8
499,Rhynoodle,"BioActive Nutritional, Inc.",Bio Hornbeam,48
500,Quimm,"Nelco Laboratories, Inc.",Lamb Quarters,5
501,Dynava,Cardinal Health,Acetaminophen and Codeine Phosphate,26
502,Agivu,"Nelco Laboratories, Inc.",Wheat Smut,28
503,Chatterpoint,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",Korres Wild Rose Mineral Foundation,73
504,Yodoo,"Allergy Laboratories, Inc.",CRANBERRY,48
505,Aimbo,"Chattem, Inc.",Surfak Stool Softener,8
506,Browsetype,"Eon Labs, Inc.",Eplerenone,27
507,Twitterworks,Torrent Pharmaceuticals Limited,Lamotrigine,13
508,Mymm,Reckitt Benckiser LLC,Cepacol,55
509,Oyoyo,"Physicians Total Care, Inc.",Infant Glycerin Laxative,74
510,Photojam,CVS Pharmacy,lansoprazole,56
511,Avamm,"PD-Rx Pharmaceuticals, Inc.",PHENADOZ,84
512,Eire,"Physicians Total Care, Inc.",Venlafaxine Hydrochloride,75
513,Eidel,"Nelco Laboratories, Inc.",Neurospora intermedia,76
514,Wordify,Wockhardt USA LLC.,Fexofenadine,89
515,Buzzster,Woodbine Products Company,FoamFresh Alco-Foam Hand Sanitizer,1
516,Yambee,Proficient Rx LP,BUPROPION HYDROCHLORIDE,86
517,Jamia,Gen-Source Rx,Cephalexin,32
518,Topicware,Save-A-Lot Food Stores Ltd,Being Well stomach relief,100
519,Rhybox,Uriel Pharmacy Inc.,Willow Fern,3
520,Skynoodle,"Morton Grove Pharmaceuticals, Inc.",Dexamethasone,20
521,Cogidoo,"TopCo Associates, LLC",Tartar control plus,70
522,Bubblemix,PF Invest Company,Hydraday,35
523,Jabbercube,Rebel Distributors Corp.,GABAPENTIN,13
524,Youbridge,"Dolgencorp, Inc. (DOLLAR GENERAL & REXALL)",Gas Relief,40
525,Mycat,American Sales Company,care one sinus,40
526,Zazio,Carilion Materials Management,Losartan Potassium,58
527,Thoughtbeat,Cardinal Health,Bacteriostatic Sodium Chloride,36
528,Brightdog,Home Sweet Homeopathics,Reflux and Heartburn,80
529,Centizu,"Physicians Total Care, Inc.",Atorvastatin Calcium,89
530,Mudo,American Health Packaging,VENLAFAXINE HYDROCHLORIDE,7
531,Izio,Emilia Personal Care Inc.,Daily Facial Moisturizer Broad Spectrum SPF15 Sunscreen,54
532,Shufflester,Chain Drug Consortium,Premier Value Medicated Chest Rub,53
533,Realmix,Winthrop U.S.,Irbesartan,58
534,Fatz,Fred's Inc.,Double Antibiotic Plus Pain Relief,23
535,Jaloo,Mylan Institutional LLC,Tobramycin,31
536,Jabberstorm,Sandoz Inc.,Levothyroxine sodium,12
537,Fanoodle,"Akorn, Inc.",Timolol Maleate,95
538,Realmix,"Enzymatic Therapy, LLC",Air Power,58
539,Wordware,Blossom Pharmaceuticals,Blossom HP 3,93
540,Innojam,Amerisource Bergen,Good Neighbor Pharmacy Loperamide Hydrochloride,11
541,Ainyx,"Aphena Pharma Solutions - Tennessee, LLC",Clonazepam,1
542,Trupe,"Peaceful Mountain, Inc.",Muscle Ice,64
543,Bluejam,Home Sweet Homeopathics,Infection,69
544,Wordify,"Bolero Home Decor, Inc.",MARVEL ULTIMATE SPIDER-MAN ANTIBACTERIAL HAND WIPES,18
545,Eimbee,American Sales Company,careone mucus relief,92
546,Skyba,CVS Pharmacy,Minoxidil,87
547,Wordtune,"Crossing Cultures, LLC dba Goddess Garden",GODDESS GARDEN ORGANICS Sunny Face NATURAL SUNSCREEN BROAD SPECTRUM SPF 30 WATER RESISTANT,8
548,Twitterworks,King Bio Inc.,Climate Adaptation Hot and Dry,35
549,Flashspan,Heel Inc,Drosera Homaccord,66
550,Kwilith,A-S Medication Solutions LLC,Prednisone,64
551,Zoonder,"Chattem, Inc.",Allegra Cooling Relief Anti-Itch,38
552,Centimia,"Physicians Total Care, Inc.",Metoprolol Tartrate,50
553,Zoombeat,"SJ Creations, Inc.",Antibacterial Hand Polar Mint and Arctic Blast,36
554,Realblab,MedVantx Inc.,Gabapentin,77
555,Vinte,Bryant Ranch Prepack,Amitriptyline Hydrochloride,14
556,Photojam,Major Pharmaceuticals,Major Camphor and Phenol,100
557,Divanoodle,"Aidance Skincare & Topical Solutions, LLC",Femmesil,7
558,Shufflebeat,"NATURE REPUBLIC CO., LTD.",SUPER ORIGIN COLLAGEN WATERPROOF BB,50
559,Divape,"Golden State Medical Supply, Inc.",Warfarin Sodium,92
560,Skidoo,"Medimetriks Pharmaceuticals, Inc.",Sumaxin CP,8
561,Innotype,Target Corporation,NICOTINE POLACRILEX,85
562,Skiptube,"Aloe Care International, LLC",ALOE UP LIL KIDS CONTINUOUS SUNSCREEN,85
563,Topicstorm,"Allermed Laboratories, Inc.",Box Elder Maple Pollen,68
564,Skiba,Merck Sharp & Dohme Corp.,SINGULAIR,98
565,Demivee,State of Florida DOH Central Pharmacy,Simvastatin,33
566,Jabbersphere,"Golden State Medical Supply, Inc.",quetiapine fumarate,14
567,Viva,"Antigen Laboratories, Inc.",Treatment Set TS348467,88
568,Jetpulse,"Deseret Biologicals, Inc.",Post-Dental Visit,18
569,Mybuzz,Rodan & Fields,RODAN FIELDS SOOTHE 4 Mineral Sunscreen BROAD SPECTRUM SPF 30,5
570,Browseblab,CVS Pharmacy,Dandruff,14
571,Jabbersphere,"Elishacoy Co., Inc.",Time Machine BB,58
572,Oyoba,American Sales Company,care one analgesic,74
573,Brainverse,"Nelco Laboratories, Inc.",White Poplar,53
574,Gabtype,Aurobindo Pharma Limited,Clopidogrel,57
575,Fadeo,Uriel Pharmacy Inc.,Astragalus e rad. 3,45
576,Meevee,Ethex Corporation,metoprolol succinate,25
577,Mudo,NARTEX LABORATORIOS HOMEOPATICOS SA DE CV,Flu-less,28
578,Realfire,"International Medication Systems, Limited",Lorazepam,87
579,Youtags,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",Extra Strength Headache Relief,19
580,Voomm,"PD-Rx Pharmaceuticals, Inc.",Minocycline Hydrochloride,15
581,Babbleset,Ventura Corporation LTD,ESIKA PERFECT SKIN COVERAGE CONCEALER SPF 17,42
582,Eimbee,Supervalu Inc,Equaline tussin cough,1
583,Yadel,"Phoenix Pharmaceutical, Inc.",Triple Antibiotic HC,64
584,Blogtags,"Newton Laboratories, Inc.",Herpes Sores,38
585,Flashset,"Physicians Total Care, Inc.",Carbidopa and Levodopa,90
586,Dabtype,"Hi-Tech Pharmacal Co., Inc.",Promethazine Hydrochloride and Codeine Phosphate,98
587,Bluezoom,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Morphine Sulfate,67
588,Avaveo,McKesson Packaging Services a business unit of McKesson Corporation,Clonidine Hydrochloride,64
589,Meembee,"Hospira, Inc.",Nitroglycerin in Dextrose,10
590,Babbleopia,"Blu Pharmaceuticals, LLC",Simvastatin,15
591,Snaptags,"Nelco Laboratories, Inc.",Soft Cheat Brome,98
592,Quatz,ENERGIZER PERSONAL CARE LLC,Banana Boat Protect and Hydrate,76
593,Flipstorm,Bryant Ranch Prepack,Benztropine Mesylate,64
594,Centizu,"Novartis Consumer Health, Inc.",Lamisil,68
595,Realblab,"Jazz Pharmaceuticals, Inc.",Luvox CR,73
596,Yombu,"Astellas Pharma US, Inc.",Prograf,32
597,Voolia,"Shore Therapeutics, Inc",Fenoglide,18
598,Oyoyo,Lake Erie Medical DBA Quality Care Products LLC,Fenofibrate,61
599,Riffpath,Apotheca Company,Fucus Vesiculosus,85
600,Avavee,Cardinal Health,Zithromax,67
601,Mynte,Qualitest Pharmaceuticals,Q-DRYL,70
602,Mymm,Unifirst First Aid Corporation,Medique Chlorphen,43
603,Meevee,H E B,Ibuprofen,8
604,Yotz,"DermaRite Industries, LLC",PERIGUARD,19
605,Mynte,Physicians Formula Inc,Youthful Wear Spotless Foundation,40
606,Buzzbean,ARMY AND AIR FORCE EXCHANGE SERVICE,Extra Strength Pain Reliever,28
607,Demizz,AMOREPACIFIC,AMOREPACIFIC FUTURE RESPONSE Age Defense SPF30,74
608,Yamia,"Aphena Pharma Solutions - Tennessee, LLC",BuPROPion Hydrochloride,58
609,Jaxworks,"Synergy Formulas, Inc.",DepressionComposition,80
610,Tanoodle,Mylan Pharmaceuticals Inc.,Montelukast Sodium,78
611,Blogtag,IASO Inc,IASO PROGRESSIVE AGE CARE,70
612,Riffwire,"Watson Laboratories, Inc.",Progesterone,26
613,Rhyzio,"Dolgencorp, LLC",dg health flu and severe cold and cough,98
614,Wikizz,Jubilant Cadista Pharmaceuticals Inc.,Alendronate Sodium,77
615,Gabcube,Aurobindo Pharma Limited,Amlodipine and Benazepril Hydrochloride,95
616,Mycat,Insight Pharmaceuticals LLC,Sucrets Herbal,54
617,Tagchat,Ranbaxy Pharmaceuticals Inc,amlodipine besylate and atorvastatin calcium,78
618,Innojam,"Preferred Pharmaceuticals, Inc.",Furosemide,34
619,Jaxnation,SHISEIDO AMERICA INC.,SHISEIDO THE MAKEUP LIFTING FOUNDATION,100
620,Pixonyx,Personal Care Products,Ultra dry antiperspirant,82
621,Voolia,"Preferred Pharmaceuticals, Inc.",Cephalexin,21
622,Kamba,Procter & Gamble Manufacturing Company,Pepto-Bismol and Pepto-Bismol,100
623,Topicstorm,Rejoice International,XtraCare instant Hand Sanitizer Cocoa Butter,17
624,Feednation,A-S Medication Solutions LLC,Prednisone,92
625,Lajo,Parfums Christian Dior,HYDRA LIFE BASE DE TEINT SERUM,34
626,Browsezoom,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Bacitracin,29
627,Kwideo,"Everett Laboratories, Inc.",Vitafol,81
628,Skilith,Cardinal Health,Docusate Sodium,5
629,Yakijo,"Alvogen, Inc.",Cefaclor,79
630,Quatz,Midlothian Laboratories,Oxycodone and Acetaminophen,47
631,Eabox,"Northwind Pharmaceuticals, LLC",Meclizine Hydrochloride,76
632,Youbridge,"PD-Rx Pharmaceuticals, Inc.",Metformin Hydrochloride,18
633,Mymm,"International Wholesale, Inc.",Health Smart Instant Hand Sanitizer with aloe vera and vitamin e peach,53
634,Mymm,"DAVA Pharmaceuticals, Inc.",VoSpire,3
635,Kazu,Procter & Gamble Manufacturing Company,Old Spice Red Zone Collection,57
636,Eabox,"Teva Women's Health, Inc.",LOESTRIN Fe 1.5/30,74
637,Riffpedia,GlaxoSmithKline Consumer Healthcare LP,Sensodyne,72
638,Oba,Mylan Pharmaceuticals Inc.,Nifedipine,67
639,Roomm,L'Oreal USA Products Inc,Maybelline New York Baby Lips Peppermint Moisturizing Lip Balm SPF 20 Sunscreen,9
640,Muxo,Novartis Pharmaceuticals Corporation,Signifor,25
641,Oodoo,State of Florida DOH Central Pharmacy,simvastatin,62
642,Twitterworks,"Northwind Pharmaceuticals, LLC",Amoxicillan and clavulanate potassium,65
643,Wordpedia,Meijer Distribution Inc.,Meijer Elements Advanced Firming and Anti-Wrinkle,61
644,Tagchat,Dr. Reddy's Laboratories Limited,Venlafaxine hydrochloride,38
645,Zoonoodle,"Antigen Laboratories, Inc.",Dog Hair,81
646,Livepath,Hy-Vee,DayTime NightTime Sinus Relief,32
647,Skiptube,"AMAROS CO., LTD.",Seaweed Aqua Massage,10
648,Linkbuzz,"Nelco Laboratories, Inc.",Olive Pollen,35
649,Vidoo,Camber Pharmaceuticals Inc.,LISINOPRIL,75
650,Skipstorm,Ultimark Products LLC,Denorex Extra Strength,6
651,Zoombeat,Cardinal Health,Gabapentin,13
652,Jaxnation,SUPERVALU INC.,Sinus Congestion and Pain Severe,88
653,Fadeo,Apotex Corp.,tizanidine,85
654,Skipfire,Uriel Pharmacy Inc.,Berberis Prunus,40
655,Eazzy,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,Love and Beauty Peach Mango Anti-Bacterial Hand Sanitizer,60
656,Voonte,Aidarex Pharmaceuticals LLC,Metaxalone,36
657,Yodel,"Betco Corporation, Ltd.",Clario Free Foaming Hand Sanitizer,28
658,Aibox,"Trigen Laboratories, LLC",Leflunomide,98
659,Dynazzy,"Carlsbad Technology, Inc",Clonidine Hydrochloride,66
660,Fivespan,"Sinsin Pharmaceutical Co., Ltd.",Arex Sinsin Pas,99
661,Kayveo,"Actavis Pharma, Inc.",Clindamycin Hydrochloride,31
662,Trupe,Apotheca Company,Norepinephrine,46
663,Babbleblab,Aurobindo Pharma Limited,Gabapentin,7
664,Kayveo,Apotheca Company,Rehydrate,47
665,Twitterbridge,"Newton Laboratories, Inc.",Constipation,66
666,Pixonyx,"Allergan, Inc.",SkinMedica Environmental Defense Sunscreen SPF 50,53
667,Ntag,Sanum Kehlbeck GmbH & Co. KG,Pleo Pef,48
668,JumpXS,Ventura International LTD.,LBEL COULEUR LUXE AMPLIFIER XP,93
669,Plajo,"Akorn, Inc.",Tobramycin,45
670,Browsecat,LLC Federal Solutions,Levetiracetam,21
671,Jetwire,Family Dollar,Night Time Cough Cherry,94
672,Dabfeed,Cardinal Health,Bisacodyl,84
673,Agimba,"Western Family Foods, Inc.",Ibuprofen,55
674,Janyx,"MedVantx, Inc.",Tamsulosin Hydrochloride,53
675,Jabbersphere,BCM Ltd,No7 Lift and Luminite Day Cream SPF 15,49
676,Bubbletube,"Nature's Innovation, Inc.",Naturasil,24
677,Realcube,Excella GmbH,Hepsera,22
678,Oloo,"Nelco Laboratories, Inc.",Barley Grain,52
679,Dabvine,"Dispensing Solutions, Inc.",Omeprazole,81
680,Innotype,"Physicians Total Care, Inc.",Carbamazepine,18
681,Photobug,"Elcure Co., Ltd.",ELCURE C Serum,73
682,Jabberbean,Amneal Pharmaceuticals,Hydrocodone Bitartrate and Acetaminophen Tablets,17
683,Photobug,NASH-FINCH COMPANY,Ibuprofen,43
684,Wikibox,"Allergy Laboratories, Inc.",MUCOR RACEMOSUS,82
685,Twinder,The Tetra Corporation,FungiFoam,72
686,Youfeed,McKesson,Health Mart Cough DM,27
687,Quatz,Mylan Pharmaceuticals Inc.,Carbidopa and Levodopa,28
688,Linktype,Parfums Christian Dior,DiorSkin Nude 070 Dark Brown,32
689,Oyoyo,Greenstone LLC,Amoxicillin,91
690,Realmix,"Nelco Laboratories, Inc.",Aspergillus fumigatus,53
691,Vinder,Family Dollar (FAMILY WELLNESS),Pain Reliever Sleep Aid,23
692,Gigabox,"KATE SOMERVILLE SKINCARE, LLC",EXFOLIKATE ACNE,62
693,Dabtype,Heritage Pharmaceuticals Inc.,Hydrochlorothiazide,34
694,Vipe,American Health Packaging,VALACYCLOVIR HYDROCHLORIDE,43
695,Livetube,"Church & Dwight Co., Inc.",ARRID EXTRA EXTRA DRY XX,6
696,Buzzster,L Perrigo Company,good sense night time,100
697,Dynava,"Acorda Therapeutics, Inc.",Zanaflex,63
698,Oozz,Heritage Pharmaceuticals Inc.,Hydrochlorothiazide,96
699,Centidel,"Scott-Gross Company, Inc.",Air,78
700,Skipstorm,"Zhejiang Blue Dream Cosmetics Co., Ltd.",Frosted Berries and Cream Sanitizer Pen,61
701,Dazzlesphere,AGL Inhalation Therapy Co.,Oxygen Helium Mixture 20/80,12
702,Wikido,American Sales Company,care one ibuprofen,53
703,Flipstorm,Parfums Christian Dior,CD DIORSKIN NUDE SKIN-GLOWING MAKEUP SUNSCREEN BROAD SPECTRUM SPF 15 030 Medium Beige,13
704,Flashset,"Physicians Total Care, Inc.",NuLYTELY,47
705,Gigashots,CVS Pharmacy,Ketotifen Fumarate,97
706,Cogibox,Bayer HealthCare Pharmaceuticals Inc.,Betapace AF,59
707,Babbleset,"Oral Defense, LLC",Oral Defense,36
708,Dynazzy,"Roxane Laboratories, Inc.",Leucovorin Calcium,17
709,Fivespan,State of Florida DOH Central Pharmacy,ACCOLATE,16
710,Avamm,"Ferndale Laboratories, Inc.",OC8,45
711,Fatz,Rebel Distributors Corp,Norvasc,100
712,Jabberbean,"Dispensing Solutions, Inc.",clarithromycin,82
713,Feedfish,"Elizabeth Arden, Inc",Ceramide Premier Intense Moisture and Renewal Activation Broad Spectrum SPF 30,85
714,Oodoo,Duramed Pharmaceuticals Inc.,ENJUVIA,59
715,Omba,"LIFElabs, a Division of Atico International USA, INC.",Clotrimazole,51
716,Skimia,Walgreens,Ibuprofen,34
717,Avavee,Medtech Products Inc.,Little Remedies Little Colds Mucus Relief Expectorant Melt Aways,68
718,Voolia,"Ventura International, LTD",LBEL EFFET PARFAIT Spots Reducing Effect Foundation SPF 18 - CLAIRE 1,50
719,Dablist,"Johnson & Johnson Sante' Beaute', France",RoC Retinol Correxion Deep Wrinkle Daily Moisturizer,37
720,Snaptags,GlaxoSmithKline Consumer Healthcare LP,Nicorette,81
721,Edgeclub,GlaxoSmithKline LLC,TIMENTIN,74
722,Blogtags,Jubilant HollisterStier LLC,"Dust, House Mixture",17
723,Janyx,"ALK-Abello, Inc.",ALNUS INCANA SSP RUGOSA POLLEN,92
724,Brainbox,Unit Dose Services,Glyburide,22
725,Mynte,Mallinckrodt Inc.,Conray 43,39
726,Roomm,"Blenheim Pharmacal, Inc.",Methocarbamol,7
727,Vipe,"SJ Creations, Inc.",Sweet Golden Pear Antibacterial Hand Wash,49
728,Blogpad,Pfizer Consumer Healthcare,CHAPSTICK OVERNIGHT,15
729,Blogspan,"Nelco Laboratories, Inc.",Rhizopus oryzae,13
730,Tagopia,"Church & Dwight Co., Inc.",Orajel Dry Mouth Moistruizing,4
731,Gigaclub,REMEDYREPACK INC.,Promethazine Hydrochloride,48
732,Feednation,Premier Value,Premier Value Infants Ibuprofen,79
733,Fliptune,"Papermates, Inc. DBA Noteworthy",Hand Sanitizer Gift Set,77
734,Brainbox,"Chattem, Inc.",Allegra Intensive Relief Anti-Itch,37
735,Tagchat,Aidarex Pharmaceuticals LLC,simvastatin,1
736,Livefish,Apotheca Company,Gastrotone,40
737,Yakitri,Wasatch Product Development,Tahitian Noni,17
738,Edgeblab,Chain Drug Market Association,Quality Choice Povidone Iodine,41
739,Mydeo,"PACK Pharmaceuticals, LLC",Piroxicam,10
740,Edgewire,Lake Erie Medical DBA Quality Care Products LLC,oxycodone hydrochloride,64
741,Trudoo,"Physicians Total Care, Inc.",Diphenhydramine HCL,70
742,Katz,Reckitt Benckiser LLC,Lysol,10
743,Zoomcast,Mylan Institutional Inc.,Atorvastatin Calcium,73
744,Jazzy,Nash Finch,Isopropyl Alcohol,71
745,Zoombox,Baxter Healthcare Corporation,Ampicillin and Sulbactam,76
746,Agivu,"Upsher-Smith Laboratories, Inc.",B-Nexa,7
747,Topicblab,"Avon Products, Inc.",skin so soft bug guard plusitch relief,73
748,Oyope,"ALK-Abello, Inc.",MEDICAGO SATIVA POLLEN,79
749,Twitterworks,"Antigen Laboratories, Inc.",Treatment Set TS345049,32
750,Blogtag,"YBK Investment, INC",Skin Delight Mask Pack Plus,72
751,Zooxo,BluePoint Laboratories,Zolmitriptan,98
752,Jabberstorm,Homeopath Ellen's,Turbo Travel Sickness,52
753,Rhynoodle,"SJ Creations, Inc.",Jasmine Mint Antibacterial Foaming Hand Wash,85
754,Dynabox,RITE AID CORPORATION,INSTANT HAND SANITIZER,99
755,Aivee,"Wal-Mart Stores, Inc.",Calamine Plus,33
756,Brightdog,"Bolero Home Decor, Inc.","Disney Antibacterial Hand Wipes - PRINCESS, CARS, MINNIE",62
757,Gigazoom,"Dispensing Solutions, Inc.",SEREVENT,34
758,Kaymbo,"HAIYANG XINYI Towelette CO., LTD.",Alcohol Prep Pad,74
759,Meembee,WOCKHARDT USA LLC.,PANTOPRAZOLE SODIUM,45
760,Tagfeed,Hyland's,Indigestion,49
761,Trunyx,Contract Pharmacy Services-PA,Paroxetine,52
762,Flashspan,Mylan Pharmaceuticals Inc.,Tamoxifen Citrate,96
763,Agivu,"Physicians Total Care, Inc.",Axert,13
764,Skipstorm,Rebel Distributors Corp,Clarinex,97
